#         01th Cycle                       02th Cycle                       03th Cycle                       04th Cycle                       05th Cycle                       06th Cycle                       07th Cycle                       08th Cycle                       09th Cycle                       10th Cycle                       11th Cycle                       12th Cycle                       13th Cycle                       14th Cycle                       15th Cycle                       16th Cycle                       17th Cycle                       18th Cycle                       19th Cycle        
# Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN       Year   Month    smooth SSN
  1818      07          4.68       1824      02          1.12       1833      11          2.77       1843      07          4.00       1855      12          1.34       1867      05          2.12       1878      12          2.53       1890      03          3.12       1902      01          2.40       1913      07          2.23       1923      08          2.87       1933      09          2.55       1944      02          3.18       1954      04          0.81       1964      10          2.08       1976      03          2.33       1986      10          2.70       1996      04          2.61       2008      12          2.10
  1818      08          4.70       1824      03          1.16       1833      12          2.81       1843      08          4.13       1856      01          1.41       1867      06          2.42       1879      01          2.59       1890      04          3.28       1902      02          2.41       1913      08          2.23       1923      09          2.89       1933      10          2.57       1944      03          3.20       1954      05          0.85       1964      11          2.10       1976      04          2.39       1986      11          2.74       1996      05          2.62       2009      01          2.14
  1818      09          4.63       1824      04          1.46       1834      01          2.85       1843      09          4.24       1856      02          1.55       1867      07          2.89       1879      02          2.75       1890      05          3.45       1902      03          2.46       1913      09          2.25       1923      10          2.90       1933      11          2.72       1944      04          3.28       1954      06          0.94       1964      12          2.17       1976      05          2.38       1986      12          2.80       1996      06          2.65       2009      02          2.15
  1818      10          4.52       1824      05          1.68       1834      02          2.81       1843      10          4.31       1856      03          1.69       1867      08          3.31       1879      03          2.85       1890      06          3.55       1902      04          2.58       1913      10          2.37       1923      11          3.03       1933      12          2.83       1944      05          3.34       1954      07          1.13       1965      01          2.26       1976      06          2.35       1987      01          2.87       1996      07          2.64       2009      03          2.14
  1818      11          4.35       1824      06          1.55       1834      03          2.84       1843      11          4.28       1856      04          1.67       1867      09          3.66       1879      04          2.96       1890      07          3.62       1902      05          2.70       1913      11          2.51       1923      12          3.22       1934      01          2.88       1944      06          3.39       1954      08          1.42       1965      02          2.32       1976      07          2.45       1987      02          2.96       1996      08          2.64       2009      04          2.15
  1818      12          4.20       1824      07          1.57       1834      04          2.93       1843      12          4.10       1856      05          1.62       1867      10          4.07       1879      05          3.13       1890      08          3.85       1902      06          2.74       1913      12          2.61       1924      01          3.44       1934      02          2.97       1944      07          3.52       1954      09          1.53       1965      03          2.41       1976      08          2.60       1987      03          3.06       1996      09          2.61       2009      05          2.19
  1819      01          4.10       1824      08          1.93       1834      05          2.99       1844      01          4.08       1856      06          1.76       1867      11          4.58       1879      06          3.28       1890      09          4.08       1902      07          2.77       1914      01          2.70       1924      02          3.70       1934      03          3.02       1944      08          3.70       1954      10          1.56       1965      04          2.57       1976      09          2.66       1987      04          3.13       1996      10          2.62       2009      06          2.25
  1819      02          4.04       1824      09          2.34       1834      06          3.07       1844      02          4.19       1856      07          2.06       1867      12          5.11       1879      07          3.52       1890      10          4.30       1902      08          2.90       1914      02          2.77       1924      03          3.88       1934      04          3.03       1944      09          3.84       1954      11          1.78       1965      05          2.68       1976      10          2.58       1987      05          3.22       1996      11          2.64       2009      07          2.30
  1819      03          4.07       1824      10          2.58       1834      07          3.20       1844      03          4.25       1856      08          2.33       1868      01          5.59       1879      08          3.90       1890      11          4.72       1902      09          3.02       1914      03          2.89       1924      04          4.02       1934      05          3.10       1944      10          4.07       1954      12          2.10       1965      06          2.72       1976      11          2.58       1987      06          3.30       1996      12          2.63       2009      08          2.32
  1819      04          4.08       1824      11          2.78       1834      08          3.26       1844      04          4.31       1856      09          2.46       1868      02          6.04       1879      09          4.27       1890      12          5.28       1902      10          3.17       1914      04          2.99       1924      05          4.16       1934      06          3.24       1944      11          4.40       1955      01          2.37       1965      07          2.76       1976      12          2.71       1987      07          3.44       1997      01          2.68       2009      09          2.38
