# Year   Month    mean SSN
  2018      04        0.73
  2018      05        0.75
  2018      06        0.78
  2018      07        0.70
  2018      08        0.60
  2018      09        0.54
  2018      10        0.50
  2018      11        0.44
  2018      12        0.40
  2019      01       -0.24
  2019      02       -0.19
  2019      03       -0.15
  2019      04       -0.11
  2019      05       -0.54
  2019      06       -0.90
  2019      07       -1.15
  2019      08       -1.09
  2019      09       -1.01
  2019      10       -0.96
  2019      11       -0.96
  2019      12       -0.95
  2020      01       -0.93
  2020      02       -0.92
  2020      03       -0.87
  2020      04       -0.79
  2020      05       -0.71
  2020      06       -0.61
  2020      07       -0.59
  2020      08       -0.52
  2020      09       -0.48
  2020      10       -0.41
  2020      11       -0.35
  2020      12       -0.32
  2021      01       -0.30
  2021      02       -0.28
  2021      03       -0.26
  2021      04       -0.26
  2021      05       -0.24
  2021      06       -0.23
  2021      07       -0.23
