# Year   Month     min SSN       Year   Month     max SSN
  1824      02        1.12       1828      05       10.60
  1833      11        2.77       1838      07        8.47
  1843      07        4.00       1849      06       16.16
  1855      12        1.34       1860      02       16.47
  1867      05        2.12       1870      08       16.87
  1878      12        2.53       1883      12       12.22
  1890      03        3.12       1892      07       11.99
  1902      01        2.40       1906      02        8.89
  1913      07        2.23       1917      08       11.55
  1923      08        2.87       1928      04        9.88
  1933      09        2.55       1937      04       12.33
  1944      02        3.18       1946      07       10.88
  1954      04        0.81       1958      03       11.21
  1964      10        2.08       1968      11        8.26
  1976      03        2.33       1981      08       12.01
  1986      10        2.70       1989      06       12.24
  1996      04        2.61       2001      11       10.43
  2008      12        2.10       2014      04        7.76
