#     Time    mean SSN     std SSN    Regresion
# (months)       cycle       cycle   Coeficient
         0        2.47        0.85         1.02
         1        2.56        0.87         1.01
         2        2.69        0.89         0.98
         3        2.81        0.89         0.94
         4        2.93        0.84         0.99
         5        3.04        0.84         1.10
         6        3.16        0.94         1.10
         7        3.30        1.04         1.09
         8        3.48        1.14         1.10
         9        3.70        1.27         1.10
        10        3.93        1.40         1.08
        11        4.16        1.52         1.07
        12        4.42        1.63         1.06
        13        4.68        1.74         1.05
        14        4.96        1.84         1.05
        15        5.26        1.93         1.04
        16        5.56        2.00         1.00
        17        5.89        2.01         1.01
        18        6.26        2.02         1.04
        19        6.66        2.10         1.02
        20        7.02        2.15         1.00
        21        7.33        2.16         0.99
        22        7.63        2.15         0.99
        23        7.91        2.12         0.99
        24        8.15        2.11         0.98
        25        8.39        2.08         0.99
        26        8.64        2.05         1.01
        27        8.87        2.08         1.03
        28        9.07        2.15         1.02
        29        9.27        2.21         1.03
        30        9.45        2.28         1.01
        31        9.55        2.30         0.99
        32        9.70        2.30         1.02
        33        9.88        2.35         1.01
        34       10.03        2.38         1.03
        35       10.16        2.47         1.05
        36       10.28        2.59         1.02
        37       10.37        2.64         1.01
        38       10.45        2.67         1.01
        39       10.52        2.68         0.99
        40       10.63        2.66         0.98
        41       10.79        2.59         0.98
        42       10.90        2.54         0.94
        43       11.02        2.40         0.94
        44       11.11        2.27         0.95
        45       11.14        2.16         0.92
        46       11.19        1.99         0.92
        47       11.21        1.84         0.94
        48       11.22        1.73         0.96
        49       11.18        1.67         0.99
        50       11.12        1.65         1.00
        51       11.09        1.65         0.98
        52       11.05        1.61         0.95
        53       10.97        1.54         0.94
        54       10.96        1.45         0.98
        55       10.96        1.43         1.01
        56       10.94        1.45         1.01
        57       10.89        1.47         1.04
        58       10.80        1.53         1.03
        59       10.82        1.59         1.00
        60       10.93        1.63         1.03
        61       11.09        1.71         1.05
        62       11.24        1.82         1.06
        63       11.33        1.93         1.04
        64       11.35        2.01         1.01
        65       11.31        2.03         0.98
        66       11.24        1.99         0.98
        67       11.10        1.95         1.03
        68       10.93        2.02         1.07
        69       10.84        2.18         1.07
        70       10.80        2.35         1.05
        71       10.69        2.46         0.97
        72       10.50        2.40         0.96
        73       10.28        2.29         0.99
        74       10.09        2.28         0.98
        75        9.92        2.24         0.98
        76        9.70        2.21         1.00
        77        9.46        2.23         0.99
        78        9.21        2.21         1.00
        79        9.01        2.21         1.02
        80        8.91        2.27         1.02
        81        8.84        2.32         1.00
        82        8.68        2.32         0.98
        83        8.48        2.26         0.99
        84        8.31        2.24         1.02
        85        8.15        2.28         1.02
        86        7.91        2.34         1.01
        87        7.66        2.38         1.01
        88        7.54        2.42         1.00
        89        7.49        2.42         1.00
        90        7.45        2.41         1.00
        91        7.40        2.42         0.99
        92        7.27        2.41         0.99
        93        7.09        2.40         1.02
        94        6.91        2.44         1.03
        95        6.78        2.50         1.02
        96        6.68        2.55         0.99
        97        6.58        2.53         0.98
        98        6.53        2.49         1.01
        99        6.45        2.51         1.01
       100        6.30        2.54         1.01
       101        6.09        2.56         1.02
       102        5.86        2.62         1.01
       103        5.69        2.66         0.99
       104        5.54        2.63         1.00
       105        5.42        2.62         1.01
       106        5.38        2.65         0.99
       107        5.31        2.61         0.98
       108        5.17        2.56         0.98
       109        5.02        2.51         0.98
       110        4.89        2.47         0.98
       111        4.80        2.43         0.98
       112        4.71        2.39         0.98
       113        4.67        2.35         1.00
       114        4.68        2.34         1.02
       115        4.67        2.38         1.01
       116        4.62        2.41         0.99
       117        4.52        2.39         0.98
       118        4.42        2.36         0.98
       119        4.29        2.32         0.97
       120        4.15        2.26         1.05
       121        3.69        2.54         0.96
       122        3.58        2.44         0.97
       123        3.50        2.36         0.97
       124        3.43        2.29         0.98
       125        2.94        2.48         1.00
       126        2.57        2.56         0.94
       127        2.12        2.56         0.96
       128        2.04        2.45         0.95
       129        1.96        2.33         0.96
       130        1.89        2.23         0.99
       131        1.85        2.21         0.98
       132        1.81        2.16         0.98
       133        1.76        2.11         0.99
       134        1.73        2.08         0.96
       135        1.69        2.00         0.94
       136        1.62        1.89         0.95
       137        1.57        1.79         0.93
       138        1.52        1.68         0.82
       139        1.15        1.58         0.92
       140        1.08        1.45         0.95
       141        1.03        1.37         0.73
       142        0.69        1.23         0.89
       143        0.63        1.10         0.92
       144        0.58        1.01         0.94
       145        0.55        0.96         0.91
       146        0.50        0.88         0.94
       147        0.47        0.83         0.97
       148        0.45        0.81         0.71
       149        0.27        0.71         0.99
       150        0.27        0.70         0.99
       151        0.26        0.70         0.00
