# Year   Month    mean SSN   std SSN
  1818      01        1.66      4.70
  1818      02        2.62      4.93
  1818      03        2.97      4.75
  1818      04        6.32      4.98
  1818      05        9.11      5.64
  1818      06        7.77      4.59
  1818      07        5.42      4.66
  1818      08        5.37      5.09
  1818      09        4.44      4.73
  1818      10        5.79      5.18
  1818      11        1.44      3.26
  1818      12        2.55      4.84
  1819      01        2.95      5.10
  1819      02        1.82      4.16
  1819      03        2.06      2.35
  1819      04        4.79      4.44
  1819      05        6.42      3.55
  1819      06        6.95      4.86
  1819      07        3.73      5.21
  1819      08        5.65      4.78
  1819      09        4.95      3.55
  1819      10        5.55      4.68
  1819      11        4.01      5.27
  1819      12        5.40      4.90
  1820      01        3.46      4.55
  1820      02        3.47      4.78
  1820      03        2.01      2.74
  1820      04        3.70      4.49
  1820      05        5.18      4.91
  1820      06        3.66      3.54
  1820      07        0.77      3.56
  1820      08        4.04      4.69
  1820      09        2.71      2.54
  1820      10        3.22      3.47
  1820      11        1.25      3.01
  1820      12        1.64      3.43
  1821      01        1.15      3.80
  1821      02        2.43      2.59
  1821      03        3.29      2.40
  1821      04        2.23      3.39
  1821      05        2.49      1.32
  1821      06        2.38      1.56
  1821      07        1.84      2.20
  1821      08        2.66      2.47
  1821      09        2.99      2.34
  1821      10        5.89      3.42
  1821      11        2.69      2.53
  1821      12        2.08      0.46
  1822      01        2.00      0.00
  1822      02        2.22      1.15
  1822      03        5.32      3.41
  1822      04        4.49      3.35
  1822      05        2.27      1.51
  1822      06        3.25      2.61
  1822      07        3.54      3.20
  1822      08        2.53      1.66
  1822      09        2.00      0.00
  1822      10        2.11      0.60
  1822      11        2.00      0.00
  1822      12        1.90      0.53
  1823      01        2.00      0.00
  1823      02        2.00      0.00
  1823      03        1.96      1.14
  1823      04        2.00      0.00
  1823      05        1.42      1.19
  1823      06        1.30      1.27
  1823      07        1.43      1.44
  1823      08        1.61      1.01
  1823      09        1.70      0.90
  1823      10        0.94      1.44
  1823      11        1.00      1.41
  1823      12        3.85      4.16
  1824      01       -0.17      2.54
  1824      02       -1.00      0.00
  1824      03        1.03      1.40
  1824      04        1.11      3.66
  1824      05        1.28      2.32
  1824      06        1.50      1.12
  1824      07        1.03      1.40
  1824      08        0.63      1.93
  1824      09        3.71      4.72
  1824      10        6.23      3.95
  1824      11        0.80      1.47
  1824      12        1.11      1.71
  1825      01        2.95      2.63
  1825      02        4.52      4.09
  1825      03        5.50      4.84
  1825      04        2.33      2.41
  1825      05        4.94      3.03
  1825      06        5.54      2.92
  1825      07        8.25      3.46
  1825      08        7.51      3.23
  1825      09        4.85      3.77
  1825      10        4.44      3.91
  1825      11        2.71      3.52
  1825      12        4.92      4.50
  1826      01        4.05      4.07
  1826      02        5.88      2.99
