# Year   Month    running    running
#                 mean SSN   std SSN
  1818      07        4.68      2.28
  1818      08        4.70      2.26
  1818      09        4.63      2.33
  1818      10        4.52      2.34
  1818      11        4.35      2.14
  1818      12        4.20      1.89
  1819      01        4.10      1.82
  1819      02        4.04      1.81
  1819      03        4.07      1.82
  1819      04        4.08      1.82
  1819      05        4.18      1.73
  1819      06        4.40      1.61
  1819      07        4.55      1.55
  1819      08        4.64      1.44
  1819      09        4.70      1.35
  1819      10        4.65      1.37
  1819      11        4.56      1.33
  1819      12        4.37      1.19
  1820      01        4.11      1.27
  1820      02        3.92      1.39
  1820      03        3.76      1.34
  1820      04        3.57      1.27
  1820      05        3.35      1.28
  1820      06        3.08      1.29
  1820      07        2.83      1.27
  1820      08        2.69      1.30
  1820      09        2.70      1.29
  1820      10        2.69      1.28
  1820      11        2.52      1.14
  1820      12        2.35      0.97
  1821      01        2.34      0.88
  1821      02        2.33      0.75
  1821      03        2.28      0.67
  1821      04        2.41      0.98
  1821      05        2.58      1.16
  1821      06        2.66      1.12
  1821      07        2.71      1.07
  1821      08        2.74      1.03
  1821      09        2.81      1.15
  1821      10        2.99      1.28
  1821      11        3.08      1.31
  1821      12        3.10      1.31
  1822      01        3.21      1.27
  1822      02        3.28      1.24
  1822      03        3.23      1.27
  1822      04        3.03      1.18
  1822      05        2.85      1.05
  1822      06        2.81      1.07
  1822      07        2.80      1.07
  1822      08        2.79      1.08
  1822      09        2.64      0.96
  1822      10        2.40      0.68
  1822      11        2.26      0.55
  1822      12        2.14      0.56
  1823      01        1.98      0.45
  1823      02        1.85      0.30
  1823      03        1.80      0.27
  1823      04        1.74      0.31
  1823      05        1.65      0.36
  1823      06        1.69      0.58
  1823      07        1.68      0.82
  1823      08        1.46      1.03
  1823      09        1.30      1.12
  1823      10        1.22      1.11
  1823      11        1.18      1.09
  1823      12        1.18      1.09
  1824      01        1.17      1.10
  1824      02        1.12      1.10
  1824      03        1.16      1.21
  1824      04        1.46      1.64
  1824      05        1.68      1.90
  1824      06        1.55      1.85
  1824      07        1.57      1.78
  1824      08        1.93      1.75
  1824      09        2.34      1.82
  1824      10        2.58      1.88
  1824      11        2.78      1.89
  1824      12        3.11      1.95
  1825      01        3.57      2.16
  1825      02        4.16      2.29
  1825      03        4.50      2.26
  1825      04        4.47      2.22
  1825      05        4.47      2.09
  1825      06        4.71      1.85
  1825      07        4.92      1.66
  1825      08        5.02      1.62
  1825      09        5.21      1.78
  1825      10        5.52      1.82
  1825      11        5.85      1.80
  1825      12        6.17      1.98
  1826      01        6.44      2.25
  1826      02        6.63      2.47
  1826      03        6.76      2.49
  1826      04        7.06      2.50
  1826      05        7.47      2.33
  1826      06        7.76      2.04
  1826      07        7.97      1.82
  1826      08        8.22      1.62
  1826      09        8.47      1.65
  1826      10        8.69      1.69
  1826      11        8.95      1.73
  1826      12        9.11      1.82
  1827      01        9.11      1.80
  1827      02        9.15      1.81
  1827      03        9.44      1.78
  1827      04        9.65      1.69
  1827      05        9.66      1.68
  1827      06        9.70      1.63
  1827      07        9.74      1.60
  1827      08        9.74      1.62
  1827      09        9.69      1.60
  1827      10        9.73      1.63
  1827      11        9.88      1.78
  1827      12       10.08      2.00
  1828      01       10.28      2.14
  1828      02       10.46      2.28
  1828      03       10.59      2.39
  1828      04       10.56      2.40
  1828      05       10.60      2.32
  1828      06       10.51      2.51
  1828      07       10.27      2.89
  1828      08       10.10      3.06
  1828      09       10.09      3.11
  1828      10       10.30      3.26
  1828      11       10.40      3.37
  1828      12       10.32      3.31
  1829      01       10.37      3.35
  1829      02       10.39      3.35
  1829      03       10.24      3.27
  1829      04       10.14      3.28
  1829      05       10.08      3.30
  1829      06       10.20      3.15
  1829      07       10.41      2.85
  1829      08       10.50      2.71
  1829      09       10.44      2.69
  1829      10       10.32      2.63
  1829      11       10.26      2.55
  1829      12       10.20      2.51
  1830      01        9.95      2.37
  1830      02        9.60      2.18
  1830      03        9.46      2.12
  1830      04        9.60      2.17
  1830      05        9.77      2.18
  1830      06        9.70      2.30
  1830      07        9.63      2.36
  1830      08        9.66      2.30
  1830      09        9.78      2.38
  1830      10        9.75      2.26
  1830      11        9.51      2.01
  1830      12        9.27      1.92
  1831      01        9.16      1.87
  1831      02        9.27      1.89
  1831      03        9.22      1.96
  1831      04        8.92      1.93
  1831      05        8.58      2.00
  1831      06        8.32      2.28
  1831      07        8.05      2.68
  1831      08        7.91      2.93
  1831      09        7.77      2.79
  1831      10        7.44      2.54
  1831      11        7.28      2.44
  1831      12        7.17      2.43
  1832      01        6.85      2.44
  1832      02        6.36      2.31
  1832      03        5.98      2.20
  1832      04        5.77      2.19
  1832      05        5.61      2.21
  1832      06        5.55      2.25
  1832      07        5.59      2.20
  1832      08        5.39      2.05
  1832      09        4.95      1.88
  1832      10        4.54      1.82
  1832      11        4.16      1.47
  1832      12        3.83      1.02
  1833      01        3.64      0.98
  1833      02        3.56      0.96
  1833      03        3.44      0.99
  1833      04        3.27      0.90
  1833      05        3.17      0.76
  1833      06        3.11      0.75
  1833      07        2.95      0.90
  1833      08        2.87      1.04
  1833      09        2.87      1.07
  1833      10        2.82      1.10
  1833      11        2.77      1.08
  1833      12        2.81      1.06
  1834      01        2.85      1.06
  1834      02        2.81      1.05
  1834      03        2.84      1.04
  1834      04        2.93      1.07
  1834      05        2.99      1.10
  1834      06        3.07      1.11
  1834      07        3.20      0.98
  1834      08        3.26      0.81
  1834      09        3.29      0.75
  1834      10        3.50      0.75
  1834      11        3.75      0.98
  1834      12        3.90      1.17
  1835      01        4.02      1.16
  1835      02        3.97      1.40
  1835      03        3.93      1.63
  1835      04        4.15      1.80
  1835      05        4.45      2.02
  1835      06        4.58      2.12
  1835      07        4.77      2.20
  1835      08        5.16      2.27
  1835      09        5.40      2.27
  1835      10        5.67      2.40
  1835      11        6.10      2.87
  1835      12        6.49      3.15
  1836      01        6.79      3.13
  1836      02        7.27      2.75
  1836      03        7.63      2.27
  1836      04        7.58      2.28
  1836      05        7.44      2.33
  1836      06        7.34      2.41
  1836      07        7.25      2.48
  1836      08        7.27      2.52
  1836      09        7.40      2.53
  1836      10        7.27      2.47
  1836      11        6.90      2.16
  1836      12        6.84      2.07
  1837      01        6.86      2.30
  1837      02        6.66      2.29
  1837      03        6.74      2.34
  1837      04        7.09      2.47
  1837      05        7.14      2.65
  1837      06        7.11      2.64
  1837      07        7.17      2.53
  1837      08        7.13      2.52
  1837      09        7.12      2.51
  1837      10        7.27      2.52
  1837      11        7.60      2.69
  1837      12        7.68      2.72
  1838      01        7.82      2.66
  1838      02        8.08      2.67
  1838      03        8.11      2.68
  1838      04        8.03      2.66
  1838      05        8.09      2.44
  1838      06        8.33      2.10
  1838      07        8.47      1.91
  1838      08        8.42      1.90
  1838      09        8.29      1.96
  1838      10        8.11      2.04
  1838      11        7.80      1.92
  1838      12        7.56      1.67
  1839      01        7.50      1.66
  1839      02        7.66      1.75
  1839      03        7.81      1.81
  1839      04        7.83      1.84
  1839      05        7.71      1.97
  1839      06        7.46      2.27
  1839      07        7.36      2.43
  1839      08        7.39      2.43
  1839      09        7.43      2.42
  1839      10        7.59      2.37
  1839      11        7.76      2.35
  1839      12        7.90      2.41
  1840      01        7.89      2.34
  1840      02        7.76      2.21
  1840      03        7.67      2.12
  1840      04        7.56      2.05
  1840      05        7.68      1.93
  1840      06        8.03      1.47
  1840      07        8.03      1.49
  1840      08        7.78      1.84
  1840      09        7.68      1.92
  1840      10        7.66      1.99
  1840      11        7.79      2.13
  1840      12        7.87      2.22
  1841      01        7.77      2.19
  1841      02        7.69      2.17
  1841      03        7.67      2.16
  1841      04        7.58      2.23
  1841      05        7.36      2.38
  1841      06        7.12      2.47
  1841      07        7.05      2.43
  1841      08        7.06      2.39
  1841      09        7.01      2.42
